,region,year,accidents,dead,injured,driving_licenses
0,Al-Baha,2016,3618.0,185.0,1227.0,4614
1,Al-Baha,2017,1414.0,134.0,1007.0,4131
2,Al-Baha,2018,1764.0,111.0,935.0,2575
3,Al-Jouf,2016,10212.0,245.0,920.0,9371
4,Al-Jouf,2017,10469.0,240.0,862.0,8091
5,Al-Jouf,2018,7355.0,157.0,618.0,6834
6,Al-Qaseem,2016,32684.0,983.0,2541.0,9180
7,Al-Qaseem,2017,25245.0,828.0,2368.0,6318
8,Al-Qaseem,2018,25964.0,696.0,2192.0,4457
9,Assir,2016,101619.0,1113.0,4893.0,41367
10,Assir,2017,81433.0,963.0,4073.0,39133
11,Assir,2018,45077.0,661.0,2969.0,22362
12,Eastern,2016,10199.0,299.0,932.0,142307
13,Eastern,2017,9379.0,265.0,773.0,126816
14,Eastern,2018,6955.0,193.0,912.0,131639
15,Hail,2016,25873.0,514.0,2259.0,54507
16,Hail,2017,22161.0,466.0,2207.0,22035
17,Hail,2018,19572.0,563.0,2112.0,39575
18,Jazan,2016,14475.0,822.0,4184.0,11504
19,Jazan,2017,16070.0,580.0,2917.0,18345
20,Jazan,2018,20547.0,483.0,2666.0,12265
21,Madinah,2016,134838.0,2243.0,12383.0,24540
22,Madinah,2017,145541.0,1641.0,10623.0,36165
23,Madinah,2018,103973.0,1301.0,9931.0,23335
24,Makkah,2016,3235.0,173.0,706.0,136055
25,Makkah,2017,3193.0,194.0,766.0,142487
26,Makkah,2018,3124.0,176.0,654.0,144873
27,Najran,2016,13196.0,193.0,631.0,2153
28,Najran,2017,11540.0,112.0,374.0,13825
29,Najran,2018,10705.0,75.0,428.0,7431
30,Northern Boarder,2016,25664.0,397.0,1513.0,4958
31,Northern Boarder,2017,22405.0,319.0,1446.0,5280
32,Northern Boarder,2018,17510.0,225.0,1269.0,3661
33,Riyadh,2016,141736.0,1430.0,4207.0,242851
34,Riyadh,2017,99925.0,1399.0,4540.0,495307
35,Riyadh,2018,79884.0,1091.0,4554.0,493224
36,Tabouk,2016,16031.0,434.0,1724.0,13610
37,Tabouk,2017,11713.0,348.0,1243.0,10232
38,Tabouk,2018,10034.0,293.0,977.0,7613
39,Al-Baha,1993,,,,3270
40,Al-Baha,1994,,,,2729
41,Al-Baha,1995,,,,2423
42,Al-Baha,1996,,,,1468
43,Al-Baha,1997,,,,3027
44,Al-Baha,1998,,,,5110
45,Al-Baha,1999,,,,4246
46,Al-Baha,2000,,,,4832
47,Al-Baha,2001,,,,7594
48,Al-Baha,2002,,,,3335
49,Al-Baha,2003,,,,3616
50,Al-Baha,2004,,,,3410
51,Al-Baha,2005,,,,2698
52,Al-Baha,2006,,,,3593
53,Al-Baha,2007,,,,997
54,Al-Baha,2008,,,,5418
55,Al-Baha,2009,,,,9815
56,Al-Baha,2010,,,,7076
57,Al-Baha,2011,,,,6450
58,Al-Baha,2012,,,,7593
59,Al-Baha,2013,,,,7482
60,Al-Baha,2014,,,,7268
61,Al-Baha,2015,,,,4856
62,Al-Jouf,1993,,,,2884
63,Al-Jouf,1994,,,,2535
64,Al-Jouf,1995,,,,2270
65,Al-Jouf,1996,,,,2518
66,Al-Jouf,1997,,,,3565
67,Al-Jouf,1998,,,,3476
68,Al-Jouf,1999,,,,3950
69,Al-Jouf,2000,,,,4666
70,Al-Jouf,2001,,,,4756
71,Al-Jouf,2002,,,,5940
72,Al-Jouf,2003,,,,3852
73,Al-Jouf,2004,,,,4601
74,Al-Jouf,2005,,,,3558
75,Al-Jouf,2006,,,,4846
76,Al-Jouf,2007,,,,9097
77,Al-Jouf,2008,,,,10929
78,Al-Jouf,2009,,,,10567
79,Al-Jouf,2010,,,,10937
80,Al-Jouf,2011,,,,10180
81,Al-Jouf,2012,,,,10246
82,Al-Jouf,2013,,,,11602
83,Al-Jouf,2014,,,,9982
84,Al-Jouf,2015,,,,10233
