Year;Type;Number of Car Plates Issued
2011;Motor-Cycle;3667
2017;Vehicles;2075
2004;Bus;8394
2006;Private;447932
1997;Trucks;143064
2008;total;664902
2008;Motor-Cycle;1520
2004;total;439588
2012;Taxi;6979
2000;Bus;9921
2008;Vehicles;1121
2012;total;974944
2005;total;541939
2002;Trucks;153127
2012;Private;754637
1997;Taxi;7420
2012;Motor-Cycle;5323
2000;Motor-Cycle;1420
2006;Motor-Cycle;4218
2009;Motor-Cycle;2805
2012;Vehicles;4110
2004;Trucks;109242
2002;Bus;13644
2008;Private;497203
2018;Bus;18794
1999;Vehicles;206
2007;total;605740
2007;Bus;7861
2011;Taxi;12827
2006;Trucks;113590
2013;Trucks;209126
2012;Bus;12509
2015;Bus;15909
2003;Bus;13096
2010;Vehicles;1560
2011;total;783537
2016;Bus;14606
2004;Vehicles;2415
2017;total;1395709
2000;Vehicles;469
2001;Vehicles;538
2003;total;461696
2018;Taxi;28502
2007;Taxi;7687
1998;Private;323284
2004;Private;308567
2010;Taxi;15509
2018;Vehicles;2324
2011;Trucks;177804
2010;Trucks;172907
2008;Trucks;145144
2014;Taxi;13978
2017;Taxi;27417
1997;Vehicles;
1997;Private;305178
2000;Private;288632
2004;Motor-Cycle;3000
2008;Bus;10405
2002;Taxi;9110
2006;Taxi;6770
2014;total;921774
2010;Motor-Cycle;3088
2011;Bus;16673
2015;Vehicles;2887
2010;total;697672
2014;Private;636979
2007;Trucks;149102
2005;Taxi;8896
2018;Motor-Cycle;3829
1997;Motor-Cycle;1543
2001;Motor-Cycle;3795
1998;Vehicles;30
2000;Trucks;107858
2001;total;542138
2010;Private;491043
1999;Private;321499
2008;Taxi;9509
2015;Private;779737
2003;Private;311668
2015;Motor-Cycle;6183
1998;Motor-Cycle;975
2001;Trucks;183431
2009;Vehicles;1597
1999;total;495205
2002;total;475780
2007;Private;434160
2005;Private;401354
2009;Private;468018
2013;Motor-Cycle;8232
1999;Motor-Cycle;957
2007;Vehicles;1433
2005;Vehicles;2749
1998;total;507753
2009;total;661227
2011;Private;570364
2016;Vehicles;2593
2015;Trucks;218640
2014;Trucks;219873
2017;Trucks;221173
2009;Taxi;16543
2003;Taxi;7456
2010;Bus;13565
2018;total;1417486
2015;total;1031179
2009;Trucks;164840
2001;Bus;13136
2005;Bus;10909
2013;total;910578
2006;total;587008
2002;Private;292673
1999;Taxi;9334
2002;Vehicles;1062
2016;total;957125
2017;Private;1118024
1998;Trucks;157871
2005;Trucks;115281
2013;Private;633482
2003;Trucks;122719
2015;Taxi;7823
2007;Motor-Cycle;5497
2011;Vehicles;2202
2006;Bus;11711
2000;total;417891
2016;Private;746453
2001;Private;329672
2002;Motor-Cycle;6164
2009;Bus;7424
2016;Taxi;11174
2016;Trucks;177433
1999;Trucks;150441
1998;Bus;11780
2013;Vehicles;2387
2005;Motor-Cycle;2750
2017;Motor-Cycle;3631
2013;Bus;44394
2014;Vehicles;2309
1997;total;466152
2012;Trucks;191386
2018;Trucks;245948
2016;Motor-Cycle;4866
2003;Vehicles;1154
2014;Bus;42487
2018;Private;1118089
2000;Taxi;9591
2014;Motor-Cycle;6148
2003;Motor-Cycle;5603
2001;Taxi;11566
1997;Bus;8947
2013;Taxi;12957
1998;Taxi;13813
2004;Taxi;7970
2017;Bus;23389
2006;Vehicles;2787
1999;Bus;12768
